https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1613919600000,2021-02-21 15:00:00,XMR/USDT,255.11,260.43,255.00,258.91,19444.296,5030163.16260,10310
1613916000000,2021-02-21 14:00:00,XMR/USDT,251.27,255.33,250.12,255.07,8750.045,2209716.61739,8673
1613912400000,2021-02-21 13:00:00,XMR/USDT,252.52,254.87,251.05,251.22,6737.359,1704419.02647,6820
1613908800000,2021-02-21 12:00:00,XMR/USDT,255.30,255.93,250.24,252.53,9054.510,2294081.20786,7564
1613905200000,2021-02-21 11:00:00,XMR/USDT,252.89,257.00,252.65,255.31,10542.572,2693068.81858,7761
1613901600000,2021-02-21 10:00:00,XMR/USDT,255.83,258.35,252.14,252.86,19910.546,5086141.71808,11708
1613898000000,2021-02-21 09:00:00,XMR/USDT,254.26,256.27,253.40,255.81,7667.961,1953015.91561,6387
1613894400000,2021-02-21 08:00:00,XMR/USDT,249.29,254.40,248.35,254.19,14545.139,3647177.05152,10114
1613890800000,2021-02-21 07:00:00,XMR/USDT,254.80,256.86,248.48,249.31,14669.401,3703165.78921,10364
1613887200000,2021-02-21 06:00:00,XMR/USDT,257.47,258.34,252.05,254.74,6947.606,1768387.46112,5835
1613883600000,2021-02-21 05:00:00,XMR/USDT,257.73,258.83,255.86,257.49,5237.347,1347682.74519,5566
1613880000000,2021-02-21 04:00:00,XMR/USDT,256.52,258.37,253.86,257.72,6730.032,1721349.73978,6918
1613876400000,2021-02-21 03:00:00,XMR/USDT,258.64,260.05,256.18,256.53,4198.485,1085062.94934,5070
1613872800000,2021-02-21 02:00:00,XMR/USDT,258.39,260.70,257.39,258.65,8434.846,2185937.94025,6138
1613869200000,2021-02-21 01:00:00,XMR/USDT,257.64,259.28,253.25,258.37,7749.079,1985377.83384,8949
1613865600000,2021-02-21 00:00:00,XMR/USDT,255.56,258.48,250.51,257.75,19742.884,5034368.79386,14205
1613862000000,2021-02-20 23:00:00,XMR/USDT,255.66,258.20,252.02,255.47,18155.267,4639038.10312,14746
1613858400000,2021-02-20 22:00:00,XMR/USDT,257.87,257.88,245.50,255.37,23418.894,5894214.36781,16941
1613854800000,2021-02-20 21:00:00,XMR/USDT,257.94,259.76,254.49,257.86,16278.949,4186256.21372,12427
1613851200000,2021-02-20 20:00:00,XMR/USDT,263.06,263.06,257.60,257.85,16733.620,4351413.66779,12012
1613847600000,2021-02-20 19:00:00,XMR/USDT,264.90,265.84,260.91,262.98,8321.250,2185944.61940,6477
1613844000000,2021-02-20 18:00:00,XMR/USDT,265.25,268.98,263.16,264.97,8193.949,2178261.94407,7423
1613840400000,2021-02-20 17:00:00,XMR/USDT,266.72,269.24,264.08,265.23,16112.410,4303589.93544,9084
1613836800000,2021-02-20 16:00:00,XMR/USDT,260.94,266.93,260.94,266.68,12508.704,3306701.88923,10004
1613833200000,2021-02-20 15:00:00,XMR/USDT,263.70,267.78,258.02,261.13,36848.228,9657678.06073,21283
1613829600000,2021-02-20 14:00:00,XMR/USDT,271.18,272.37,263.23,263.75,19283.716,5173271.65301,13847
1613826000000,2021-02-20 13:00:00,XMR/USDT,274.86,275.46,270.11,271.31,13018.613,3554193.54955,9744
1613822400000,2021-02-20 12:00:00,XMR/USDT,275.03,278.00,273.97,274.86,13311.214,3672463.37421,9356
1613818800000,2021-02-20 11:00:00,XMR/USDT,279.76,280.20,273.11,274.99,7299.247,2016418.60697,6836
