https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA,Volume USDT,tradecount
1651852800000,2022-05-06 16:00:00,LUNA/USDT,80.02000000,80.68000000,79.64000000,80.65000000,168687.42000000,13527100.37400000,14310
1651849200000,2022-05-06 15:00:00,LUNA/USDT,80.16000000,81.73000000,79.86000000,80.02000000,268813.10000000,21708263.72130000,27096
1651845600000,2022-05-06 14:00:00,LUNA/USDT,78.30000000,80.42000000,78.01000000,80.16000000,351534.95000000,27850000.53750000,33495
1651842000000,2022-05-06 13:00:00,LUNA/USDT,80.11000000,80.46000000,77.47000000,78.30000000,454900.44000000,35782805.67490000,41143
1651838400000,2022-05-06 12:00:00,LUNA/USDT,79.84000000,81.00000000,79.73000000,80.12000000,194557.83000000,15645358.30130000,19607
1651834800000,2022-05-06 11:00:00,LUNA/USDT,80.06000000,80.55000000,78.95000000,79.84000000,218180.77000000,17386373.79920000,19177
1651831200000,2022-05-06 10:00:00,LUNA/USDT,80.87000000,81.49000000,79.73000000,80.09000000,142784.24000000,11509655.01630000,14220
1651827600000,2022-05-06 09:00:00,LUNA/USDT,79.66000000,80.99000000,79.58000000,80.87000000,119736.93000000,9619453.36550000,13939
1651824000000,2022-05-06 08:00:00,LUNA/USDT,80.34000000,81.07000000,79.51000000,79.67000000,204673.88000000,16412812.60710000,18149
1651820400000,2022-05-06 07:00:00,LUNA/USDT,80.46000000,80.70000000,79.06000000,80.35000000,225419.90000000,17993813.98970000,24408
1651816800000,2022-05-06 06:00:00,LUNA/USDT,80.90000000,81.17000000,80.43000000,80.45000000,60814.34000000,4910307.03060000,7435
1651813200000,2022-05-06 05:00:00,LUNA/USDT,80.54000000,81.46000000,80.37000000,80.90000000,96842.08000000,7831975.92670000,10275
1651809600000,2022-05-06 04:00:00,LUNA/USDT,80.99000000,80.99000000,80.17000000,80.54000000,97514.58000000,7853033.94360000,11471
1651806000000,2022-05-06 03:00:00,LUNA/USDT,81.11000000,81.19000000,80.45000000,80.99000000,84355.26000000,6819079.28680000,10057
1651802400000,2022-05-06 02:00:00,LUNA/USDT,80.91000000,81.58000000,80.79000000,81.10000000,99172.31000000,8064711.01150000,10231
1651798800000,2022-05-06 01:00:00,LUNA/USDT,81.76000000,82.10000000,80.84000000,80.91000000,150090.41000000,12216497.49790000,13231
1651795200000,2022-05-06 00:00:00,LUNA/USDT,82.34000000,83.05000000,81.21000000,81.77000000,140559.48000000,11545840.38040000,15292
1651791600000,2022-05-05 23:00:00,LUNA/USDT,82.34000000,83.02000000,82.18000000,82.35000000,88065.15000000,7267992.26320000,7570
1651788000000,2022-05-05 22:00:00,LUNA/USDT,82.63000000,83.60000000,82.23000000,82.33000000,227142.02000000,18844128.95230000,21419
1651784400000,2022-05-05 21:00:00,LUNA/USDT,81.96000000,82.78000000,81.50000000,82.62000000,161084.13000000,13249664.52540000,14921
1651780800000,2022-05-05 20:00:00,LUNA/USDT,81.45000000,82.00000000,80.71000000,81.96000000,119708.35000000,9731661.14550000,13108
1651777200000,2022-05-05 19:00:00,LUNA/USDT,80.33000000,81.61000000,79.06000000,81.45000000,391266.08000000,31402642.13930000,39962
1651773600000,2022-05-05 18:00:00,LUNA/USDT,80.44000000,80.67000000,78.51000000,80.34000000,335068.62000000,26723744.45210000,37742
1651770000000,2022-05-05 17:00:00,LUNA/USDT,81.37000000,81.82000000,80.44000000,80.44000000,214499.92000000,17423321.46880000,17420
1651766400000,2022-05-05 16:00:00,LUNA/USDT,79.84000000,81.79000000,79.50000000,81.34000000,287442.11000000,23243418.65310000,32486
1651762800000,2022-05-05 15:00:00,LUNA/USDT,81.96000000,82.15000000,78.80000000,79.83000000,703797.91000000,56734486.16430000,70235
1651759200000,2022-05-05 14:00:00,LUNA/USDT,83.87000000,84.19000000,81.69000000,81.97000000,478038.85000000,39519911.63120000,40200
1651755600000,2022-05-05 13:00:00,LUNA/USDT,85.62000000,85.64000000,83.77000000,83.88000000,140797.36000000,11903329.33480000,15641
1651752000000,2022-05-05 12:00:00,LUNA/USDT,85.24000000,85.77000000,85.03000000,85.61000000,38805.01000000,3318091.72610000,5786
1651748400000,2022-05-05 11:00:00,LUNA/USDT,85.53000000,86.12000000,85.09000000,85.23000000,46916.56000000,4022344.34780000,6768
1651744800000,2022-05-05 10:00:00,LUNA/USDT,85.26000000,86.11000000,85.10000000,85.52000000,70581.62000000,6037426.60830000,8668
1651741200000,2022-05-05 09:00:00,LUNA/USDT,85.40000000,85.64000000,84.79000000,85.25000000,71934.10000000,6124652.91670000,8756
1651737600000,2022-05-05 08:00:00,LUNA/USDT,86.20000000,86.41000000,84.98000000,85.41000000,73896.04000000,6327536.11330000,10116
1651734000000,2022-05-05 07:00:00,LUNA/USDT,85.87000000,86.26000000,85.36000000,86.21000000,66329.06000000,5690104.00250000,8838
1651730400000,2022-05-05 06:00:00,LUNA/USDT,86.11000000,86.82000000,85.76000000,85.86000000,59789.29000000,5152843.10700000,7843
1651726800000,2022-05-05 05:00:00,LUNA/USDT,86.97000000,87.49000000,85.95000000,86.11000000,65113.99000000,5641551.17530000,8089
1651723200000,2022-05-05 04:00:00,LUNA/USDT,86.90000000,87.35000000,86.45000000,86.97000000,40994.64000000,3563276.22820000,5805
1651719600000,2022-05-05 03:00:00,LUNA/USDT,87.22000000,87.40000000,86.75000000,86.89000000,41283.43000000,3594376.91420000,5162
1651716000000,2022-05-05 02:00:00,LUNA/USDT,87.20000000,87.87000000,86.76000000,87.23000000,102038.42000000,8915824.15180000,13135
1651712400000,2022-05-05 01:00:00,LUNA/USDT,86.04000000,87.28000000,86.03000000,87.21000000,132663.74000000,11500150.55480000,12742
1651708800000,2022-05-05 00:00:00,LUNA/USDT,86.18000000,86.57000000,85.81000000,86.03000000,84737.24000000,7296402.33300000,8529
