https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1652389200000,2022-05-12 21:00:00,NEO/USDT,9.694,9.727,9.388,9.505,115909.24,1104656.70255,6476
1652385600000,2022-05-12 20:00:00,NEO/USDT,9.722,9.840,9.609,9.694,110079.42,1071316.67420,7169
1652382000000,2022-05-12 19:00:00,NEO/USDT,9.572,9.803,9.525,9.724,147320.01,1425750.68723,10466
1652378400000,2022-05-12 18:00:00,NEO/USDT,10.048,10.108,9.550,9.574,190373.74,1867571.09289,10536
1652374800000,2022-05-12 17:00:00,NEO/USDT,10.513,10.516,10.016,10.050,136549.13,1400996.20209,9477
1652371200000,2022-05-12 16:00:00,NEO/USDT,9.885,10.550,9.863,10.509,230985.44,2374630.73864,14372
1652367600000,2022-05-12 15:00:00,NEO/USDT,9.893,10.145,9.810,9.885,210221.94,2098561.50957,14087
1652364000000,2022-05-12 14:00:00,NEO/USDT,9.407,9.910,9.285,9.899,243236.70,2334162.06523,15081
1652360400000,2022-05-12 13:00:00,NEO/USDT,9.683,9.855,9.386,9.409,280545.72,2690991.04613,16837
1652356800000,2022-05-12 12:00:00,NEO/USDT,9.568,9.720,9.331,9.685,234679.66,2235386.75297,14526
1652353200000,2022-05-12 11:00:00,NEO/USDT,9.624,9.870,9.523,9.572,269553.78,2612841.39940,16866
1652349600000,2022-05-12 10:00:00,NEO/USDT,9.109,9.730,9.004,9.617,372232.15,3469505.73099,21593
1652346000000,2022-05-12 09:00:00,NEO/USDT,9.328,9.462,9.076,9.108,363831.07,3385335.31057,20559
1652342400000,2022-05-12 08:00:00,NEO/USDT,9.560,9.604,9.094,9.333,390418.71,3656921.05356,24302
1652338800000,2022-05-12 07:00:00,NEO/USDT,9.022,9.760,8.414,9.560,568601.40,5180678.51001,31280
1652335200000,2022-05-12 06:00:00,NEO/USDT,9.013,9.506,8.896,9.028,524549.01,4815999.53675,28483
1652331600000,2022-05-12 05:00:00,NEO/USDT,9.231,9.387,8.731,9.016,791123.19,7154715.53238,39233
1652328000000,2022-05-12 04:00:00,NEO/USDT,9.607,9.766,9.041,9.229,576655.15,5406279.81180,34238
1652324400000,2022-05-12 03:00:00,NEO/USDT,10.098,10.215,9.599,9.610,315381.17,3127368.71187,21571
