https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEAR,Volume USDT,tradecount
1652623200000,2022-05-15 14:00:00,NEAR/USDT,6.69600000,6.72200000,6.58500000,6.68000000,596535.30000000,3962490.80170000,10688
1652619600000,2022-05-15 13:00:00,NEAR/USDT,6.79800000,6.83700000,6.67000000,6.69600000,569901.40000000,3841483.36760000,10654
1652616000000,2022-05-15 12:00:00,NEAR/USDT,6.80200000,6.97900000,6.74800000,6.79700000,743103.00000000,5090614.57660000,14395
1652612400000,2022-05-15 11:00:00,NEAR/USDT,6.76000000,6.87800000,6.67700000,6.80200000,461013.00000000,3132535.43420000,10927
1652608800000,2022-05-15 10:00:00,NEAR/USDT,6.67500000,6.77000000,6.58200000,6.76100000,379858.30000000,2524987.51410000,8506
1652605200000,2022-05-15 09:00:00,NEAR/USDT,6.59900000,6.69600000,6.55500000,6.67300000,333452.30000000,2211231.19980000,8123
1652601600000,2022-05-15 08:00:00,NEAR/USDT,6.73500000,6.77200000,6.57100000,6.60000000,494897.80000000,3289687.26910000,10563
1652598000000,2022-05-15 07:00:00,NEAR/USDT,6.77500000,6.89300000,6.70400000,6.73500000,538390.40000000,3665222.65770000,12018
1652594400000,2022-05-15 06:00:00,NEAR/USDT,6.78900000,6.79800000,6.66200000,6.77400000,398791.20000000,2687319.71170000,9497
1652590800000,2022-05-15 05:00:00,NEAR/USDT,6.62600000,6.83500000,6.58900000,6.79500000,521363.00000000,3488009.97600000,11552
1652587200000,2022-05-15 04:00:00,NEAR/USDT,6.57300000,6.73000000,6.49800000,6.62700000,463503.10000000,3065408.35590000,10598
1652583600000,2022-05-15 03:00:00,NEAR/USDT,6.62100000,6.67400000,6.53800000,6.57300000,289367.30000000,1910164.49450000,7933
1652580000000,2022-05-15 02:00:00,NEAR/USDT,6.72300000,6.83200000,6.53000000,6.62000000,659357.10000000,4396424.56360000,11516
1652576400000,2022-05-15 01:00:00,NEAR/USDT,6.79300000,6.82700000,6.60100000,6.72200000,474320.30000000,3175815.00130000,10746
1652572800000,2022-05-15 00:00:00,NEAR/USDT,6.67800000,6.96300000,6.57600000,6.79300000,865821.90000000,5867742.23120000,17299
1652569200000,2022-05-14 23:00:00,NEAR/USDT,6.74000000,6.76600000,6.62000000,6.67800000,587131.00000000,3934826.59530000,11437
1652565600000,2022-05-14 22:00:00,NEAR/USDT,6.52700000,6.78700000,6.49300000,6.73700000,561556.20000000,3717735.01870000,11325
1652562000000,2022-05-14 21:00:00,NEAR/USDT,6.41100000,6.63500000,6.35200000,6.52700000,314285.20000000,2034893.36120000,6012
1652558400000,2022-05-14 20:00:00,NEAR/USDT,6.42100000,6.64000000,6.40600000,6.41100000,575073.00000000,3747648.21600000,12092
1652554800000,2022-05-14 19:00:00,NEAR/USDT,6.42000000,6.47600000,6.34800000,6.42000000,344197.50000000,2208088.80160000,8139
1652551200000,2022-05-14 18:00:00,NEAR/USDT,6.42700000,6.58000000,6.38000000,6.42000000,637899.70000000,4118681.94720000,12573
1652547600000,2022-05-14 17:00:00,NEAR/USDT,6.40400000,6.47400000,6.29100000,6.42800000,576695.00000000,3677681.46980000,11902
