https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QTUM,Volume USDT,tradecount
1637452800000,2021-11-21 00:00:00,QTUM/USDT,15.227,16.155,14.995,15.241,5197747.0,80353705.3563,258737
1637366400000,2021-11-20 00:00:00,QTUM/USDT,14.800,15.503,14.438,15.228,3930421.0,59060173.2989,187689
1637280000000,2021-11-19 00:00:00,QTUM/USDT,13.693,15.140,13.276,14.797,6742416.2,97219172.7006,296494
1637193600000,2021-11-18 00:00:00,QTUM/USDT,15.132,15.519,13.379,13.691,6270151.9,89609202.1165,263879
1637107200000,2021-11-17 00:00:00,QTUM/USDT,15.138,15.491,14.414,15.128,6183625.4,92578397.1033,295918
1637020800000,2021-11-16 00:00:00,QTUM/USDT,16.588,16.590,14.100,15.140,8240880.2,127717739.6418,382076
1636934400000,2021-11-15 00:00:00,QTUM/USDT,17.335,17.949,16.534,16.586,7067747.0,121814329.5160,329363
1636848000000,2021-11-14 00:00:00,QTUM/USDT,16.599,18.050,16.359,17.340,9379590.1,160226893.4771,418383
1636761600000,2021-11-13 00:00:00,QTUM/USDT,16.151,16.840,16.078,16.599,3810387.6,62555807.4512,217194
1636675200000,2021-11-12 00:00:00,QTUM/USDT,16.304,16.482,15.372,16.153,4505197.4,71657733.3868,221529
1636588800000,2021-11-11 00:00:00,QTUM/USDT,16.238,16.564,15.918,16.305,3695872.9,60189613.9344,179354
1636502400000,2021-11-10 00:00:00,QTUM/USDT,17.857,18.044,15.001,16.240,9254326.9,156745357.8751,377854
1636416000000,2021-11-09 00:00:00,QTUM/USDT,17.086,18.370,16.707,17.855,10730438.4,189599344.1797,429922
1636329600000,2021-11-08 00:00:00,QTUM/USDT,16.513,17.437,16.006,17.084,5854371.2,97758730.0857,273809
1636243200000,2021-11-07 00:00:00,QTUM/USDT,16.893,16.904,16.267,16.511,3852237.1,63544210.3526,192078
1636156800000,2021-11-06 00:00:00,QTUM/USDT,15.858,17.894,15.734,16.897,14879953.8,250970440.9445,560361
1636070400000,2021-11-05 00:00:00,QTUM/USDT,15.890,16.289,15.465,15.856,5435000.7,86175359.2550,246823
1635984000000,2021-11-04 00:00:00,QTUM/USDT,16.321,16.681,15.356,15.891,6285026.8,100076077.9238,276061
