,symbol,date,open,date_delta,clusterLabel
1511,ALGO/USDT,2022-02-27,0.8592,39.0,244
1512,ALGO/USDT,2022-02-26,0.8302,38.0,247
1513,ALGO/USDT,2022-02-25,0.7771,37.0,248
1514,ALGO/USDT,2022-02-24,0.7852,36.0,250
1515,ALGO/USDT,2022-02-23,0.8105,35.0,252
1516,ALGO/USDT,2022-02-22,0.7846,34.0,254
1517,ALGO/USDT,2022-02-21,0.8447,33.0,257
1518,ALGO/USDT,2022-02-20,0.8992,32.0,258
1519,ALGO/USDT,2022-02-19,0.894,31.0,261
1520,ALGO/USDT,2022-02-18,0.8979,30.0,263
1521,ALGO/USDT,2022-02-17,0.9774,29.0,265
1522,ALGO/USDT,2022-02-16,0.9696,28.0,267
1523,ALGO/USDT,2022-02-15,0.8995,27.0,269
1524,ALGO/USDT,2022-02-14,0.8965,26.0,270
1525,ALGO/USDT,2022-02-13,0.9188,25.0,272
1526,ALGO/USDT,2022-02-12,0.9161,24.0,274
1527,ALGO/USDT,2022-02-11,0.9813,23.0,276
1528,ALGO/USDT,2022-02-10,1.0366,22.0,278
1529,ALGO/USDT,2022-02-09,1.0234,21.0,280
1530,ALGO/USDT,2022-02-08,1.0709,20.0,282
1531,ALGO/USDT,2022-02-07,1.0247,19.0,285
1532,ALGO/USDT,2022-02-06,1.0017,18.0,286
1533,ALGO/USDT,2022-02-05,0.9978,17.0,288
1534,ALGO/USDT,2022-02-04,0.9353,16.0,290
1535,ALGO/USDT,2022-02-03,0.9228,15.0,293
1536,ALGO/USDT,2022-02-02,0.9663,14.0,295
1537,ALGO/USDT,2022-02-01,0.9499,13.0,296
1538,ALGO/USDT,2022-01-31,0.9448,12.0,298
1539,ALGO/USDT,2022-01-30,0.969,11.0,300
1540,ALGO/USDT,2022-01-29,0.9584,10.0,303
1541,ALGO/USDT,2022-01-28,0.9364,9.0,305
1542,ALGO/USDT,2022-01-27,0.9227,8.0,306
1543,ALGO/USDT,2022-01-26,0.9223,7.0,308
1544,ALGO/USDT,2022-01-25,0.9125,6.0,310
1545,ALGO/USDT,2022-01-24,0.9885,5.0,313
1546,ALGO/USDT,2022-01-23,0.9506,4.0,314
1547,ALGO/USDT,2022-01-22,1.0305,3.0,317
1548,ALGO/USDT,2022-01-21,1.161,2.0,318
1549,ALGO/USDT,2022-01-20,1.265,1.0,321
1550,ALGO/USDT,2022-01-19,1.3171,0.0,322
1551,AVAX/USDT,2022-05-22,29.89,123.0,56
1552,AVAX/USDT,2022-05-21,28.8,122.0,56
1553,AVAX/USDT,2022-05-20,30.39,121.0,56
1554,AVAX/USDT,2022-05-19,29.59,120.0,56
1555,AVAX/USDT,2022-05-18,34.4,119.0,56
1556,AVAX/USDT,2022-05-17,32.56,118.0,56
1557,AVAX/USDT,2022-05-16,36.56,117.0,56
1558,AVAX/USDT,2022-05-15,33.93,116.0,56
1559,AVAX/USDT,2022-05-14,32.2,115.0,56
1560,AVAX/USDT,2022-05-13,30.31,114.0,-1
1561,AVAX/USDT,2022-05-12,31.17,113.0,-1
1562,AVAX/USDT,2022-05-11,44.58,112.0,-1
1563,AVAX/USDT,2022-05-10,41.2,111.0,-1
1564,AVAX/USDT,2022-05-09,51.62,110.0,-1
1565,AVAX/USDT,2022-05-08,55.05,109.0,34
1566,AVAX/USDT,2022-05-07,57.0,108.0,34
1567,AVAX/USDT,2022-05-06,59.04,107.0,34
1568,AVAX/USDT,2022-05-05,67.28,106.0,-1
1569,AVAX/USDT,2022-05-04,59.63,105.0,34
1570,AVAX/USDT,2022-05-03,60.34,104.0,34
1571,AVAX/USDT,2022-05-02,58.74,103.0,34
1572,AVAX/USDT,2022-05-01,56.98,102.0,34
1573,AVAX/USDT,2022-04-30,63.4,101.0,34
1574,AVAX/USDT,2022-04-29,67.26,100.0,-1
1575,AVAX/USDT,2022-04-28,69.86,99.0,38
1576,AVAX/USDT,2022-04-27,68.7,98.0,38
1577,AVAX/USDT,2022-04-26,72.9,97.0,38
1578,AVAX/USDT,2022-04-25,71.5,96.0,38
1579,AVAX/USDT,2022-04-24,72.84,95.0,38
1580,AVAX/USDT,2022-04-23,74.04,94.0,38
1581,AVAX/USDT,2022-04-22,75.01,93.0,38
1582,AVAX/USDT,2022-04-21,78.22,92.0,-1
1583,AVAX/USDT,2022-04-20,80.27,91.0,39
1584,AVAX/USDT,2022-04-19,77.73,90.0,39
1585,AVAX/USDT,2022-04-18,75.41,89.0,39
1586,AVAX/USDT,2022-04-17,77.74,88.0,39
1587,AVAX/USDT,2022-04-16,77.44,87.0,39
1588,AVAX/USDT,2022-04-15,76.8,86.0,39
1589,AVAX/USDT,2022-04-14,80.2,85.0,39
1590,AVAX/USDT,2022-04-13,76.32,84.0,39
1591,AVAX/USDT,2022-04-12,74.35,83.0,39
1592,AVAX/USDT,2022-04-11,81.0,82.0,39
1593,AVAX/USDT,2022-04-10,84.57,81.0,-1
1594,AVAX/USDT,2022-04-09,83.66,80.0,-1
1595,AVAX/USDT,2022-04-08,87.56,79.0,-1
1596,AVAX/USDT,2022-04-07,82.94,78.0,-1
1597,AVAX/USDT,2022-04-06,91.07,77.0,-1
1598,AVAX/USDT,2022-04-05,96.16,76.0,33
1599,AVAX/USDT,2022-04-04,98.02,75.0,33
1600,AVAX/USDT,2022-04-03,96.25,74.0,33
1601,AVAX/USDT,2022-04-02,96.81,73.0,33
1602,AVAX/USDT,2022-04-01,97.43,72.0,33
1603,AVAX/USDT,2022-03-31,95.57,71.0,33
1604,AVAX/USDT,2022-03-30,92.73,70.0,-1
1605,AVAX/USDT,2022-03-29,89.57,69.0,-1
1606,AVAX/USDT,2022-03-28,89.88,68.0,27
1607,AVAX/USDT,2022-03-27,85.87,67.0,27
1608,AVAX/USDT,2022-03-26,83.54,66.0,27
1609,AVAX/USDT,2022-03-25,87.57,65.0,27
1610,AVAX/USDT,2022-03-24,85.99,64.0,27
1611,AVAX/USDT,2022-03-23,83.97,63.0,27
1612,AVAX/USDT,2022-03-22,86.24,62.0,27
1613,AVAX/USDT,2022-03-21,84.87,61.0,27
1614,AVAX/USDT,2022-03-20,89.54,60.0,27
1615,AVAX/USDT,2022-03-19,85.72,59.0,27
1616,AVAX/USDT,2022-03-18,79.4,58.0,-1
1617,AVAX/USDT,2022-03-17,74.07,57.0,-1
1618,AVAX/USDT,2022-03-16,69.82,56.0,30
1619,AVAX/USDT,2022-03-15,68.97,55.0,30
1620,AVAX/USDT,2022-03-14,67.92,54.0,30
1621,AVAX/USDT,2022-03-13,70.93,53.0,30
1622,AVAX/USDT,2022-03-12,71.23,52.0,30
1623,AVAX/USDT,2022-03-11,73.93,51.0,30
1624,AVAX/USDT,2022-03-10,77.6,50.0,-1
1625,AVAX/USDT,2022-03-09,73.02,49.0,-1
1626,AVAX/USDT,2022-03-08,71.67,48.0,-1
1627,AVAX/USDT,2022-03-07,72.51,47.0,-1
1628,AVAX/USDT,2022-03-06,76.69,46.0,-1
1629,AVAX/USDT,2022-03-05,75.78,45.0,-1
1630,AVAX/USDT,2022-03-04,78.5,44.0,-1
